"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2747280753177","4.97278822604487","5.41318449381608","2.13284660420089","-1.38762607193795","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2352683604464","27.197295387614","25.9434441111827","22.6298020261843","20.8941227976699","16.8603796665892","16.3886444775579","15.5550268859721","15.7978666777859","15.6940179955773","18.68970489693","23.919509730643","25.105494015787","18.4665240253722","16.0788616795926","15.2728263100501","14.064055260581","13.7837222955988","14.7334874377478","13.2496939582772","13.2972607178874","11.7494469090838","12.4221457852673","10.3248242044873","10.8035629523612","11.8704957676879","11.1328694068726","12.5896475220489","13.4754746098068","","",
"Afganistán","AFG","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","19.8230671095274","38.0524184525407","16.2095651035125","34.3781046619129","41.5529817308581","47.585291587785","43.1660403087656","47.4000021127554","32.894999742508","29.9085365853659","28.8941846693783","44.4400015893758","52.8319118135569","43.9894769631591","25.8935302448722","28.9817322217501","20.1210186180507","22.5600007431009","16.2742714496536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","1.58805170710874","1.85896553363755","2.87410255071767","5.32503118298534","6.57146351407403","9.54243018775869","11.375293170877","14.9698202616446","17.5855849338169","15.7779326038492","18.1454245789212","20.2296834312362","26.2557400588464","29.610217458122","23.4038364347584","20.0122672223136","14.537005341329","14.3398512284047","12.4643666597914","10.6725640886319","12.2329639248574","14.6544344113712","12.5296451838615","13.2866167942337","19.1307823934811","20.7781144026201","12.7680599606066","10.5493003914186","12.552663272154","12.854652287556","11.2489530014003","11.3705902499641","9.04212196940178","8.56986041942517","9.82324317959254","10.167897543081","12.5684237823965","10.5799021040336","9.64148898065451","","",
"Angola","AGO","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8556052547867","10.3758188529777","8.8827378684074","9.09817188770303","15.7305567464137","4.07031036517311","1.33975922848645","1.54810490946524","1.35310930869364","0.793659007759706","1.02083234287124","0.667199319709698","0.729615852235771","0.818749438752053","0.623667872090096","1.27386895626369","1.48386030873137","1.34119723830318","1.1674575190071","0.173587835282242","1.28990468181155","",
"Albania","ALB","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.904800696839675","1.39588254851199","1.79415704609257","397.066094262678","1110.39195355234","166.977804737073","45.8873578405037","35.4712469138662","39.2126658558531","44.7114204194796","53.4657360287113","77.0118643613389","29.655188559078","19.5680084830846","20.0455808070189","18.3642346183913","12.2486254903674","10.6131369496887","10.2038078300683","8.38755957648927","7.91625433475213","8.5807595684595","10.0990580537122","9.37114754310589","10.0019219118745","7.51384823239092","8.2787490687067","11.4000917987762","5.716866980451","5.16131836877171","9.50128484576746","0.763184086935394","8.82894492058498","",
"Andorra","AND","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","8.81487303891975","8.69901376497019","6.98632681739181","7.66574075914658","7.0660010037585","6.50141131222918","5.26567110097696","5.13808049507501","4.85571056363704","6.26891212169384","6.38189831777499","7.16300624503367","5.45374285788364","6.26311553806125","6.51100272820584","11.1166816505231","7.82384406496897","6.6309838806825","7.14462705016147","5.1253638728642","5.28427947640593","5.05060269425557","4.85202619230791","3.77764124458641","3.36189430633459","3.48902294778588","3.44600944134788","5.12248458931392","5.5506331116373","11.324072404285","5.43027041120456","4.48517683360738","4.07620734668545","2.78708473708461","2.19396849011546","2.23666249802121","2.31568579681542","3.25339871526118","3.00452949657205","2.86450559978015","3.85529929892221","4.08919743391263","4.57037456511978","4.15801434184565","","",
"Emiratos Árabes Unidos","ARE","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","AOD neta recibida (% de formación bruta de capital)","DT.ODA.ODAT.GI.ZS","","","1.03814074264898","0.834720311874305","-0.0962089505253142","-0.899000682762712","-0.157784788881","0.174502402164304","0.0474339808115493","0.234444642691044","-0.0316094485137627","0.0620328859841091","0.0227758854296045","0.123514771128883","0.0989167704219852","0.0777278241810473","0.089607670091381","0.0932893110719231","0.103795532825605","0.157876383341103","0.224704326061653","0.206300122105366","0.160786868636288","0.158479485169312","0.207346427177864","0.251291399702995","0.380308588718568","0.383814047534508","0.605653546611546","1.69562893544875","0.867472534625584","1.00027828206155","0.698004848008401","0.527676794304069","0.313076968849036","0.310409536942352","0.229261261401139","0.162745416506429","0.117974059029774","0.162660024314136","0.14962624414265","0.375454362275611","0.933262972254491","0.652199906557628","0.336821741306156","0.250066690131114","0.262897238963879","0.156131360821303","0.176664398795391","0.217068836465816","0.173733931190732","0.0994957340004846","0.19728531391587","0.0363542148864219","0.0536992160046097","-0.0185860258217317","0.00266049157291804","-0.000998112055487444","0.0838485241763957","0.0129476650538152","0.185427904602108","",
